speaker,dialog,debate_num
Chuck Todd, thank you senator booker,1
Rachel Maddow, secretary castro id like to talk to you about something that senator booker just mentioned there the idea of active shooter drills in schools school shootings seem like an almost every day or every week occurrence now they dont make a complete news cycle anymore no matter the death toll as parents are so afraid as their kids go off to school that their kids will be caught up in something like this next to nothing has changed in federal law that might affect the prevalence of school shootings is this a problem that is going to continue to get worse over our lifetimes or is there something that you would do as president that you really think would turn it around,1
Julian Castro, yeah rachel im the dad of a 10 year old girl carina whos here tonight and the worst thing is knowing that your child might be worried about what could happen at school a place thats supposed to be safe the answer to your question is no we dont have to accept that and i believe that on january 20 2021 at 1201 pm were going to have a democratic president a democratic house and a democratic senate,1
Julian Castro, and the activists of parkland folks from moms to men who have risen up across the united states and inspired so many people you know we may not have seen yet legislative action but were getting closer the house took a vote in the senate the question often is if the decision is between 60 votes a filibuster or passing common sense gun reform im going to choose common sense gun reform so i believe that were going to be able to get that done in 2021,1
Rachel Maddow, secretary castro thank you,1
Tim Ryan, rachel i have something to add to this briefly,1
Rachel Maddow, well give you 30 seconds for follow up on that question on that answer from secretary castro congressman ryan,1
Tim Ryan, you were talking about in the schools these kids are traumatized i support all the gun reforms here we need to start dealing with the trauma that our kids have we need trauma based care in every school we need social and emotional learning in every school 90 of the shooters who do school shooting come from the school theyre in and 73 of them feel shamed traumatized or bullied we need to make sure that these kids feel connected to the school that means a mental health counselor in every single school in the united states we need to start playing offense if our kids are so traumatized that theyre getting a gun and going into our schools were doing something wrong too and we need reform around trauma based care,1
Rachel Maddow, congressman thank you congressman ryan,1
Chuck Todd, congressman orourke youre a texan thats campaigned you campaigned all over the state in 2018 in the most conservative parts there what do you tell a gun owner who may agree with you on everything else okay but says you know what the democrats if i vote for them in there theyre going to take my gun away and even though i agree with you on all these other issues how do you have that conversation,1
Beto O’Rourke, heres how we had that conversation in texas i shared with them what i learned from those students who survived the santa fe high school shooting a young student named bri her friend marcel who survived another shooting the mother of a victim who lost her life rhonda heart they talked about universal background checks where you close every loophole we know that they save lives talked about ending the sales of assault weapons into our communities those weapons of war were designed to kill people as effectively and as efficiently as possible they should belong on the battlefield and not in our communities red flag laws so if someone poses a danger to themselves or to someone else theyre stopped before its too late,1
Beto O’Rourke, and what i found in each one of those 254 counties is that democrats and independents and republicans gun owners and nongun owners alike agreed but this effort must be led by the young people that you referenced at the beginning of this issue those students from marjory stoneman douglas led the charge here in florida and theyve been able to change those laws theyre making our democracy work ensuring that our values and our interests and our priorities are reflected in the laws that we pass,1
Chuck Todd, thank you congressman orourke hang on let me give 30 seconds senator klobuchar the iron range im curious gun confiscation right if the government is buying back how do you not have that conversation,1
Amy Klobuchar, well thats not confiscation you would give them the offer to buy back their gun but ill say this i look at these proposals and i say does this hurt my uncle dick and his deer stand coming from a proud hunting and fishing state these proposals dont do that when i was a prosecutor i supported the assault weapon ban when i was in the senate i saw those moms from sandy hook come and try to advocate for change and we all failed and then now these parkland kids from florida they started literally a national shift you know why its just like with gay marriage when kids talk to their parents and their grandparents they say i dont understand why we cant put these sensible things in place they listen and if we get bested by a bunch of 17 year olds its the best thing thatll ever happen we need to get this done,1
Chuck Todd, senator thank you senator thank you,1
Rachel Maddow, senator booker let me go to you on another matter actually senator mitch mcconnell says that his most consequential achievement as senate majority leader was preventing president obama from filling a supreme court seat having served with republicans on the judiciary committee do you believe they would confirm your court nominees,1
Cory Booker, im going to use 20 of my seconds just to say this one thing we dont all agree with when it comes to guns and i think its common sense and over 70 of americans agree with me if you need a license to drive a car you should need a license to buy and own a firearm and not everybody in this field agrees with that but in states like connecticut that did that they saw 40 drops in gun violence and 15 drops in suicides we need to start having bold agendas on guns,1
Cory Booker, when it comes to the supreme court very clearly we i agree with my friend secretary castro we are going to get to 50 votes in the senate this is a team sport whoever is our nominee needs to campaign in places like south carolina because we can elect jaime harrison they need to campaign in places like iowa because we can win a senate seat there this is about getting us back to having 50 votes in the senate and more so that we can not only balance the supreme court but start to pass an aggressive agenda that frankly isnt so aggressive because most of america agrees with the policy objectives of our party,1
Rachel Maddow, mayor de blasio,1
John Delaney, we have to actually,1
Rachel Maddow, congressman delaney youll have some time in a moment on this issue,1
John Delaney, this issue is related to,1
Rachel Maddow, mayor de blasio as an executive in the largest city in this country you are used to saying what you want to have happen and having it happen if you nominate a supreme court nominee as president of the united states and mitch mcconnell is still senate majority leader what makes you believe that he would allow you to make a nominee,1
Bill De Blasio, rachel i am chief executive of the nations largest city and i also want to just say something quick on the gun issue and come to your question look i run the largest police force in america too and if were going to stop these shootings if were going to get these guns off the street we have to have a very different relationship between our police and our community i also want to say that something that sets me apart from all my colleagues running in this race and that is for the last 21 years ive been raising a black son in america and i have had to have very very serious talks with my son dante about how to protect himself on the streets of our city and all over this country including how to deal with the fact that he has to take special caution because there have been too many tragedies between our young men and our police too as we saw recently in indiana,1
Bill De Blasio, so we need to have a different conversation in this country about guns but also a different conversation about policing that brings police and community together weve done that in new york city and weve driven down crime while weve done it,1
Bill De Blasio, but to your question about mitch mcconnell theres a political solution that we have to come to grips with if the democratic party would stop acting like the party of the elites and be the party of working people again and go into states including red states to convince people were on their side we could put pressure on their senators to actually have to vote for the nominees that are put forward decent  deserve that right,1
Rachel Maddow, thank you mayor de blasio,1
Chuck Todd, senator warren im going to get you i will get you 30 seconds i promise let me get this question were trying i know you guys we got other issues were trying to get to including a big one coming up in a minute but senator warren i want to continue on the mitch mcconnell thing because you have a lot of ambitious plans,1
Elizabeth W., i do,1
Chuck Todd, do you have a plan for that okay we talked about the supreme court do you have a plan to deal with mitch mcconnell if you dont beat him in the senate if hes still sitting there as the senate majority leader its very plausible youd be elected president with a republican senate do you have a plan to deal with mitch mcconnell,1
Elizabeth W., i do we are a democracy and the way a democracy is supposed to work is the will of the people matters now we for far too long have had a congress in washington that has just completely dismissed what people care about across this country they have made this country work much better for those who can make giant contributions made it work better for those who hire armies of lobbyists and lawyers and not made it work for the people well heres how i see this happening number one sure i want to see us get a democratic majority in the senate but short of the democratic majority in the senate you better understand the fight still goes on it starts in the white house and it means that everybody we energize in 2020 stays on the front lines come january 2021 we have to push from the outside have leadership from the inside and make this congress reflect the will of the people,1
Chuck Todd, okay im going to get a couple of you in here im going to get you a couple in here 30 seconds congressman delaney you seem to believe you can do everything in a bipartisan manner mitch mcconnell doesnt operate that way he operates differently why do you think he is going to conform to your style,1
John Delaney, i think we need to get things done thats why i believe we need to operate in a bipartisan manner listen ill sign into law bills that come to the white house that are passed on a party line basis absolutely but all the big transformative things weve ever done in this countrys history have happened when huge majorities of the american people get behind them which is why we need real solutions not impossible promises we need to put forth ideas that work whether its on healthcare creating universal healthcare so that every american gets healthcare but not running on making private insurance illegal the gun issue is related the gun safety issue is related because i cant tell you how many times ive been with folks in western maryland and theyve said to me you know democrats dont do anything for us republicans dont do anything for us you fight all the time so they vote on that single issue if we become the party of getting things done for the american people with real solutions no impossible promises,1
Chuck Todd, okay i understand senator booker hang on i promised 30,1
John Delaney, well be able to get all these things done,1
Chuck Todd, senator booker 30 seconds how do you deal with mitch youve been in the senate you cant get bills on the floor right now with mitch mcconnell presidents cant do it is president booker going to get his bills on the floor with senator mcconnell,1
Cory Booker, you know when i got to the united states senate going back to what de blasio said as an african american man in an african american dominated community i knew one of the biggest issues was criminal justice reform from police accountability to dealing with the fact that we have a nation that has more african americans under criminal supervision than all the slaves in 1850 and when i got to the senate people told me we could not get a comprehensive criminal justice reform bill done as my colleagues in the senate know i fought on that bill from the day i got to the senate bill coalitions across the aisle and today we passed the first step act its not as far as i want to go but thousands of people will be liberated ive taken on tough problems people said we cannot achieve and ive been able to get things accomplished,1
Chuck Todd, thank you senator booker rachels got the next question,1
Rachel Maddow, we are going to hold on governor youre going to be happy with where we go,1
Chuck Todd, just give us a second,1
Rachel Maddow, governor inslee this next question is to you you got me you have staked your candidacy on the issue of climate change it is first second and third priority for you youve said its all the issues lets get specific were here in miami which is already experiencing serious flooding on sunny days as a result of sea level rise parts of miami beach and the keys could be underwater in our lifetimes does your plan save miami,1
Jay Inslee, yes first by taking away the filibuster from mitch mcconnell to start with we have to do that look look we are the first generation to feel the sting of climate change and we are the last that can do something about it our towns are burning our fields are flooding miami is inundated and we have to understand this is a climate crisis an emergency and it is our last chance in an administration next one to do something about it and we need to do what i have done in my state weve passed a 100 clean electrical grid bill we now have a vision statement my plan has been called the gold standard of putting people to work,1
Jay Inslee, but the most important thing on this and the biggest decision for the american public is who is going to make this the first priority and i am the candidate and the only one whos saying this has to be the top priority of the united states the organizing principle to mobilize the united states so that we can do what weve always done lead the world and invent the future and put eight million people to work thats what were going to do,1
Rachel Maddow, governor thank you governor,1
Chuck Todd, congressman orourke youve also put out a big climate change plan from your campaign you want some big changes in a pretty short period of time including switching to renewable energy pushing to replace gaspowered cars in favor of electric ones whats your message to a voter who supports the overall goal of what youre trying to do but suddenly feels as if governments telling them how to live and ordering them how to live what is that balance like,1
Beto O’Rourke, i think youve got to bring everybody in to the decisions and the solutions to the challenges that we face thats why were traveling everywhere listening to everyone we were in pacific junction a town that had never meaningly flooded before just up against the missouri river in iowa and every home in that community had flooded there were farms just outside of pacific junction that were effectively lakes those farms already underwater in debt their markets closed to them by a trade war under this administration and now they dont know what to do,1
Beto O’Rourke, we in our administration are going to fund resiliency in those communities in miami in houston texas those places that are on the front lines of climate change today were going to mobilize five trillion dollars in this economy over the next 10 years were going to free ourselves from a dependence on fossil fuels and were going to put farmers and ranchers in the drivers seat renewable and sustainable agriculture to make sure that we capture more carbon out of the air and keep more of it in the soil paying farmers for the environmental services that they want to provide if all of us does all that we can then were going to be able to keep this planet from warming another two degrees celsius and ensure that we match what this country can do and live up to our promise and our potential,1
Chuck Todd, 30 seconds secretary castro does who pays for the mitigation to climate whether its building sea walls for people that are perhaps living in places that they shouldnt be living is this a federal government issue that needs to do that do they have to move these people what do you do about that where maybe theyre building a house someplace that isnt safe who pays to build that house and how much should the government be bailing them out,1
Julian Castro, well i dont think that that represents the vast majority of the issue in fact you know my first visit after i announced my candidacy wasnt to iowa or new hampshire it was to san juan puerto rico because people should know that if im elected president everybody will count and you know im one of the few candidates in this race with executive experience with a track record of getting things done when i was mayor of san antonio we moved our local public utility we began to shift it from coalfired plants to solar and other renewables and also created more than 800 jobs doing that and when i was hud secretary we worked on the national disaster resilience competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way thats the way that were going to help make sure that were all safer in the years to come and that we combat climate change and if im elected president the first thing that i would do like senator klobuchar also said is sign an executive order recommitting us to the paris climate accord so that,1
Chuck Todd, congressman ryan i got a full question for you here which is simply this a lot of the climate plans include pricing carbon taxing carbon in some way this type of proposal has been tried in a few places whether its washington state where voters voted it down youve had the yellow vest movement we had in australia one party get rejected out of fear of the cost of climate change sort of being put on the backs of the consumer if pricing carbon is just politically impossible how do we pay for climate mitigation,1
Tim Ryan, well theres a variety of different ways to pay we talk about different ways of raising revenue and i think weve got to build our way out of this and grow our way out of this,1
Tim Ryan, but let me just talk real quick to the previous question about real politics we could talk about climate we could talk about guns we could talk about all of these issues that we all care about we have a perception problem with the democratic party we are not connecting to the working class people in the very states that i represent in ohio in the industrial midwest weve lost all connection we have got to change the center of gravity of the democratic party from being coastal and elitist and ivy league which is the perception to somebody from the forgotten communities that have been left behind for the last 30 years to get those workers back on our side so we can say were going to build electric vehicles were going to build solar panels but if you want to beat mitch mcconnell this better be a working class party if you want to go into kentucky and take his rear end out and if you want to take lindsey graham out you got to have blue collar party that can go into the textile communities in south carolina so all im saying here,1
Chuck Todd, thank you congressman ryan,1
Tim Ryan, all im saying here is,1
Chuck Todd, thank you congressman ryan,1
Tim Ryan, so all im saying is here if we dont address that fundamental problem,1
Chuck Todd, i understand,1
Tim Ryan, with our connection to workers white black brown gay straight working class people,1
Chuck Todd, thank you congressman,1
Tim Ryan, none of this is going to get done chuck,1
John Delaney, the questions about carbon tax bill,1
Chuck Todd, thank you very much were going to keep moving congressman delaney im going to get to you,1
John Delaney, i introduced the only bipartisan carbon tax bill to congress,1
Chuck Todd, 30 seconds go,1
John Delaney, all right all the economists agree that a carbon pricing mechanism works you just have to do it right you cant put a price on carbon raise energy prices and not give the money back to the american people my proposal which is put a price on carbon give a dividend back to the american people it goes out one pocket back in the other,1
Chuck Todd, thank you congressman,1
John Delaney, i can get that passed my first year as president with a coalition of every democrat in the congress and the republicans who live in coastal states,1
Chuck Todd, congressman thank you,1
John Delaney, theres republicans in florida they actually care about this issue,1
Chuck Todd, thank you very much,1
John Delaney, this has got to be our way forward if were actually serious about this issue,1
Chuck Todd, thank you congresswoman gabbard were going to move here one of the first things you did after launching your campaign was to issue an apology to the lgbtq community about your past stances and statements on gay rights after the trump administrations rollbacks of civil rights protections for many in that community why should voters in that community or voters that care about this issue in general trust you now,1
Tulsi Gabbard, well let me say that there is no one in our government at any level who has the right to tell any american who they should be allowed to love or who they should be allowed to marry my record in congress for over six years shows my commitment to fighting for lgbtq equality i serve on the equality caucus and recently voted for passage of the equality act maybe many people in this country can relate to the fact that i grew up in a socially conservative home held views when i was very young that i no longer hold today ive served with lgbtq service members both in training and deployed downrange i know that they would give their life for me and i would give my life for them it is this commitment that ill carry through as president of the united states recognizing that there are still people who are facing discrimination in the workplace still people who are unable to find a home for their families it is this kind of discrimination that we need to address,1
Chuck Todd, thank you congresswoman gabbard,1
Cory Booker, but its not enough its not enough if i could add to this its very important,1
Chuck Todd, 30 seconds senator,1
Cory Booker, this is not enough look civil rights is someplace to begin but in the african american civil rights community another place to focus on was to stop the lynching of african americans we do not talk enough about trans americans especially african american trans americans and the incredibly high rates of murder right now we dont talk enough about how many children about 30 of lgbtq kids who do no go to school because of fear its not enough just to be on the equality act im an original cosponsor we need to have a president that will fight to protect lgbtq americans every single day from violence in our country,1
Chuck Todd, thank you senator booker,1
Tulsi Gabbard, senator booker senator booker,1
Rachel Maddow, senator klobuchar let me put this to you on the issue of civil rights for decades on the issue of civil rights and demographics honestly and politics for decades the democratic party has counted on african american voter turnout as step one to winning elections on a national level democrats are counting on the latino community now and in the future in the same way what have you done for black and latino voters that should enthuse them about going to the polls for you if youre your partys nominee,1
Amy Klobuchar, my life and my career and my work in the senate has been about economic opportunity and to me this means better childcare for everyone in this country and when you want to have an economy that works you need to have retirement that works you need to have public schools that work and you also need to make sure that those communities are able to get those jobs of the future the stem jobs in fact donald trump one of the first bills that he signed of the 34 he signed where i was the lead democrat okay thats a first up here was one that was about that making sure minority community members could share in those jobs,1
Amy Klobuchar, so to me this is about a few things its about an african american woman that goes to a hospital in new orleans says her hands are swollen and then doctor ignores her and her baby dies its about the fact that africanamerican women make 61 cents for every dollar a white man makes,1
Amy Klobuchar, so in short we need to one and i will do this in my first 100 days as president we will work to make sure everyone can vote at this table everyone can vote in this country and we will also go to the next step of criminal justice reform senator booker and i worked on that first step act but we should go to the second step act which is to help all our communities across our country,1
Rachel Maddow, senator thank you very much 30 second follow up to you secretary castro this is a 70 latino city here in miami you are the only latino democrat who is running this year in the presidential race is that enough of an answer what senator klobuchar is describing there an economic justice agenda is that enough to mobilize latino voters to stand with the democratic party in a big way,1
Julian Castro, well i also think that we have to recognize racial and social justice you know i was in charleston not too long ago and i remembered that dylann roof went to the mother emmanuel ame church and he murdered nine people that were worshiping and then he was apprehended by police without incident well but what about eric garner and tamir rice and laquan mcdonald and sandra bland and pamela turner and antonio  im proud that im the only candidate so far that has put forward legislation that would reform our policing system in america and make sure that no matter the color of your skin is that youre treated the same including latinos who are mistreated too oftentimes by police,1
Rachel Maddow, secretary castro thank you,1
Chuck Todd, let me go over to lester holt whos got a question i believe a viewer question,1
Lester Holt, and im over here chuck thanks we asked voters across the country to submit their questions to the candidates let me read one now this comes from john in new york who submitted this question he asks does the united states have a responsibility to protect in the case of genocide or crimes against humanity do we have a responsibility to intervene to protect people threatened by their governments even when atrocities do not affect american core interests id like to direct that question to congressman orourke,1
Beto O’Rourke, john i appreciate the question the answer is yes but that action should always be undertaken with allies and partners and friends when the united states presents a united front we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer the kind of genocide that we saw in rwanda the kind of genocide we want to stop going forward but unfortunately under this administration president trump has alienated our allies and our friends and our alliances hes diminished our standing in the world and hes made us weaker as a country less able to confront challenges whether its iran or north korea or vladimir putin in russia who attacked and invaded our democracy in 2016 and who president trump has offered another invitation to do the same hes embraced strong men and dictators at the expense of the great democracies as president i will make sure that we live our values in our foreign policy i will ensure that we strengthen those alliances and partnerships and friendships and meet any challenge that we face together that makes america stronger,1
Rachel Maddow, congressman orourke thank you,1
Bill De Blasio, what about the war powers act being a part of that equation with deep respect to the congressman look weve learned painful lessons as americans that weve gone to war without congressional authorization and look this is very personal for me i know the cost of war my dad served in the pacific in world war ii in the us army battle of okinawa had half his leg blown off and he came home with scars both physical and emotional and he did not recover he spiraled downward and he ultimately took his own life and that battle didnt kill him but that war did and look even in the humanitarian crisis and i think we should be ready congressman to intervene god forbid there is a genocide but not without congressional approval democrats and republicans both in the congress have not challenged presidents and have let them get away with running the military without that congressional approval we learned a lesson in vietnam we seem to have forgotten the decisions have to be made by the united states congress in the name of the people,1
Rachel Maddow, im going to pick up on this point and i want to put this to congressman ryan today the taliban claimed responsibility for killing two american service members in afghanistan leaders as disparate as president obama and president trump have both said that they want to end us involvement in afghanistan but it isnt over for america why isnt it over why cant presidents of very different parties and very different temperaments get us out of there and how could you,1
Tim Ryan, i appreciate that question so ive been in congress 17 years and 12 of those years ive sat on the armed services committee the defense appropriations committee or the armed services committee and the lesson that ive learned over the years is that you have to stay engaged in these situations nobody likes it its long its tedious but right now we have so i would say we must be engaged in this we must have our state department engaged we much have our military engaged to the extent they need to be but the reality of it is this president doesnt even have people appointed in the state department to deal with these things whether were talking about central america whether were talking about iran whether were talking about afghanistan weve got to be completely engaged and heres why because these flare ups distract us from the real problems in the country if were getting drones shot down for 130 million dollars because the president is distracted thats 130 million dollars that we could be spending in places like youngstown ohio or flint michigan or rebuilding,1
Rachel Maddow, congressman ryan congresswoman gabbard im going to give you 30 seconds actually to jump off what he said he described engagement as the problem,1
Tulsi Gabbard, is that what you will tell the parents of those two soldiers who were just killed in afghanistan well we just have to be engaged as a soldier i will tell you that answer is unacceptable we have to bring our troops home from afghanistan we are in a place in afghanistan where we have lost so many lives weve spent so much money money thats coming out of every one of our pockets money that should be going into communities here at home meeting the needs of the people here at home we are no better off in afghanistan today than we were when this war began this is why its so important to have a president commander in chief who knows the cost of war and whos ready to do the job on day one i am ready to do that job when i walk into the oval office,1
Chuck Todd, im going to go down the line here you know what you felt like she was responding you get 30 seconds go,1
Tim Ryan, thank you youre a very good man i appreciate it,1
Chuck Todd, fair enough i hear what youre saying,1
Tim Ryan, i would just say i dont want to be engaged i wish we were spending all this money in places that ive represented that have been completely forgotten and we were rebuilding but the reality of it is if the united states isnt engaged the taliban will grow and they will have bigger bolder terrorist acts we have got to have some presence there,1
Tulsi Gabbard, the taliban was there long before we came in theyll be there long before we leave,1
Tim Ryan, yeah exactly well they were and they were flying,1
Tulsi Gabbard, we cannot keep us troops deployed to afghanistan thinking that were going to somehow squash this taliban that has been there that every other country thats tried and failed,1
Tim Ryan, i didnt say squash them when we werent in there they started flying planes into our buildings so im just saying right now,1
Tulsi Gabbard, the taliban didnt attack us on 911 al qaeda did,1
Tim Ryan, well i understand,1
Tulsi Gabbard, al qaeda attacked us on 911,1
Tim Ryan, i understand that the taliban,1
Tulsi Gabbard, thats why i and so many other people joined the military to go after al qaeda not the taliban,1
Tim Ryan, the taliban was protecting those people who were plotting against us all im saying is if we want to go in to elections and we want to say that we got to withdraw from the world thats what president trump is saying we cant i would love for us to,1
Tulsi Gabbard, you know whos protecting al qaeda right now saudi arabia,1
Chuck Todd, i want to go down the line here finish up foreign policy its a simple question what is our who is the geopolitical threat to the united states just give me a one word answer congressman delaney,1
John Delaney, can you repeat the question,1
Chuck Todd, greatest geopolitical threat to the united states right now congressman delaney,1
John Delaney, well the biggest geopolitical challenge is china but the biggest geopolitical threat remains nuclear weapons,1
Chuck Todd, okay,1
John Delaney, you know those are different questions,1
Chuck Todd, i got you totally get it go ahead governor inslee,1
Jay Inslee, the biggest threat to security of the united states is donald trump theres no question,1
Chuck Todd, congresswoman gabbard,1
Tulsi Gabbard, the greatest,1
Chuck Todd, the greatest geopolitical threat,1
Tulsi Gabbard, the greatest threat that we face is the fact that we are at a greater risk of nuclear war today than ever before in history,1
Chuck Todd, senator klobuchar,1
Amy Klobuchar, two threats economic threat china but our major threat right now is whats going on in the mideast with iran if we dont get,1
Chuck Todd, okay try to keep it to one or slimmer than what weve been going here one or two word,1
Beto O’Rourke, our existential threat is climate change we have to confront it before its too late,1
Chuck Todd, senator warren,1
Elizabeth W., climate change,1
Chuck Todd, yeah senator booker,1
Cory Booker, nuclear proliferation and climate change,1
Chuck Todd, secretary castro,1
Julian Castro, china and climate change,1
Chuck Todd, congressman ryan,1
Tim Ryan, china without a question theyre wiping us around the world economically,1
Chuck Todd, and mr mayor,1
Bill De Blasio, russia because theyre trying to undermine our democracy and theyve been doing a pretty damn good job of it and we need to stop them,1
Chuck Todd, all right well thank you for that wide variety of answers and i mean that no i mean that in a thats what this debate is about this is the best part of a debate like this congressman orourke special council robert muellers report outlines multiple instances of potential criminal behavior by president trump house speaker pelosi has publicly and privately resisted any move toward impeachment in the house if the house chooses not to impeach as president would you do anything to address the potential crimes that were outlined in mr muellers report,1
Beto O’Rourke, yes and ill tell you why,1
Chuck Todd, how by the way if the answer is yes,1
Beto O’Rourke, one of the most powerful pieces of art in the united states capital is the trumbull painting of general george washington resigning his commission to the continental congress at the height of his power submitting to the rule of law and the will of people that has withstood the test of time for the last 243 years,1
Beto O’Rourke, if we set another precedent now that a candidate who invited the participation of a foreign power a president who sought to obstruct the investigation into the invasion of our democracy if we allow him to get away with this with complete impunity then we will have set a new standard and that is that some people because of the position of power and public trust that they hold are above the law and we cannot allow that to stand so we must begin impeachment now so that we have the facts and the truth and we followed them as far as they go and as high up as they reach and we save this democracy and if we have not been able to do that in this year or the year that follows and under my administration our department of justice will pursue these facts and ensure that there are consequences there is accountability and there is justice its the only way that we save this country,1
Chuck Todd, thank you congressman orourke,1
Rachel Maddow, congressman delaney because of the accountability issues that congressman orourke was just describing there and the real political landscape in which nancy pelosi is saying that impeachment will not be pursued in the house it raises the prospect and the mueller report raises the prospect that president trump could be prosecuted for some of those potential crimes down the line no us president has ever been prosecuted for crimes after leaving office do you believe that president trump could or should be the first,1
John Delaney, i guess theres always a first,1
Rachel Maddow, should he be the first,1
John Delaney, i dont think anyones above the law i dont think anyone is above the law including a president i support speaker pelosis decisions that she is making in the house of representatives right now as speaker i think she knows more about the decision as to whether to impeach the president than any of the 2020 candidates combined,1
Rachel Maddow, conceded on the issue of prosecution,1
John Delaney, i do think no ones above the law and this president who is lawless should not be above the law but i will tell you rachel the one thing when youre out doing as much campaigning as i have done 400 events all 99 counties in iowa this is not the number one issue the american people ask us about its not they want to know what were going to do for healthcare how we are going to lower pharmaceutical prices how we are going to build infrastructure what were going to do to create jobs in their communities you know last year in our country 80 of the money for startup businesses went to 50 counties in this country theres over 3000 counties in this country thats what they care about they care about whats going on in the public schools they care about whats going on with jobs in their communities with their pay with their healthcare with infrastructure these are the issues these kind of kitchen table pocketbook issues are actually what most americans care about they never ask about the mueller report,1
Rachel Maddow, understood congressman thank you your time is up,1
John Delaney, they never ask about they want to know how were going to solve these problems,1
Rachel Maddow, your time is up youve hit time,1
Chuck Todd, heres the thing i still senator weve got to,1
Amy Klobuchar, i wouldnt agree with what the congressman is saying but if we let the republicans run our election and if we do not do something about russian interference in the election and we let mitch mcconnell stop all the backup paper ballots then were not going to get what we want to do,1
Chuck Todd, i got to sneak in a we blew through a break which is good news to give you more time so i got to sneak one in now more of this debate its picking up here it continues right after this,1
Lester Holt, we are back from miami and its time now for closing statements each candidate has 45 seconds we want to begin with former congressman john delaney,1
John Delaney, closing now,1
Lester Holt, closing 45 seconds we could go on,1
John Delaney, together we are on a mission were on a mission to find the america thats been lost lost through infighting lost through inaction were so much better than this were a country that used to do things we saved the world we created the american dream for millions of people like myself the grandson of immigrants the son of a union electrician who went on to become a successful business leader and create thousands of jobs,1
John Delaney, but we did these things with real solutions not with impossible promises and those are the roots that we have to get back to im running for president to solve these problems to build infrastructure to fix our broken healthcare system to invest in communities that have been left behind to improve public education,1
John Delaney, i just dont want to be your president to be your president,1
Lester Holt, congressman your 45 seconds is over,1
John Delaney, i want to be your president to do the job,1
Lester Holt, thank you sir,1
John Delaney, this is not about me this is about getting america working again,1
Lester Holt, thank you,1
Savannah G., mayor de blasio mayor your closing statement,1
Bill De Blasio, it matters it matters in this fight for the heart and soul of our party that we nominate a candidate who has seen the face of poverty and didnt just talk about it but gave people 15 dollar minimum wage it matters that we nominate a candidate who saw the destruction wrought by a broken healthcare system and gave people universal healthcare it matters that we choose someone who saw the wasted potential of our children denied prek and gave it to every single one of them for free,1
Bill De Blasio, these things really matter and these are the things that ive done in new york and i want to do the same for this whole country because putting working people first it matters we need to be that party again lets work together with your help we can put working people first again in america,1
Savannah G., thank you mayor de blasio right on time,1
Jose D. B., governor inslee 45 seconds,1
Chuck Todd, trudi and i have three grandchildren we love them all and when i was thinking about whether to run for president i made a decision i decided that on my last day on earth i wanted to look them in the eye and tell them i did everything humanly possible to protect them from the ravages of the climate crisis and i know to a moral certainty if we do not have the next president who commits to this as a top priority it wont get done,1
Chuck Todd, and i am the only candidate frankly im surprised i am the only candidate whos made this commitment to make it the top priority if you join me in that recognition of how important this is we can have a unified national mission we can save ourselves we can save our children we can save our grandchildren and we can save literally the life on this planet this is our moment,1
Jose D. B., governor thank you,1
Chuck Todd, congressman ryan your 45 seconds,1
Tim Ryan, theres nothing worse than not being heard nothing worse than not being seen and i know that because ive represented for 17 years in congress a forgotten community theyve tried to divide us whos white whos black whos gay whos straight whos a man whos a woman and they ran away with all the gold because they divided the working class its time for us to come together i dont know how you feel but im ready to play some offense,1
Tim Ryan, i come from the middle of industrial america but these problems are all over our country theres a tent city in la theres homeless people and people around our country who cant afford a home its time for us to get back on track the teacher in texas the nurse in new hampshire the waitress in wisconsin all of us coming together playing offense with an agenda that lifts everybody up,1
Chuck Todd, thank you congressman,1
Tim Ryan, i will only promise you one thing when i walk into that oval office every morning you will not be forgotten,1
Chuck Todd, thank you congressman,1
Tim Ryan, your voice will be heard thank you,1
Rachel Maddow, congresswoman gabbard you have 45 seconds for your closing,1
Tulsi Gabbard, our nation was founded on the principles of service above self people who fled kings who literally prospered on the backs and the sacrifices of people coming here to this country instead putting in place a government that is of by and for the people but thats not what we have instead we have a government that is of by and for the rich and powerful this must end,1
